Time Img,No. Cell,Threshold Cell,No. Lys.,Area Lys.,Perimeter Lys.,Centroid Lys. X,Centroid Lys. Y,mCherry_Mean.,Venus_Mean
1,1,1672,1,1,0,186,237,738,485
1,1,1672,2,2,2,187,234,597,499
1,1,1672,3,1,0,192,212,610,558
1,1,1672,4,1,0,194,235,690,320
1,1,1672,5,2,2,199,225,643,600
1,1,1672,6,1,0,198,230,677,852
1,1,1672,7,1,0,205,236,620,555
1,1,1672,8,1,0,218,197,673,569
1,1,1672,9,1,0,221,196,613,246
1,1,1672,10,2,2,223,192,802,301
1,1,1672,11,2,2,223,194,908,949
1,1,1672,12,1,0,230,189,967,402
1,1,1672,13,5,8,233,185,841,546
1,1,1672,14,1,0,232,231,626,154
1,1,1672,15,13,15,238,184,935,455
1,1,1672,16,26,36,244,186,868,533
1,1,1672,17,1,0,243,177,580,432
1,1,1672,18,6,7,246,179,963,653
1,1,1672,19,4,5,246,195,715,489
1,1,1672,20,5,5,249,198,799,481
1,1,1672,21,3,5,250,189,781,189
1,1,1672,22,37,56,256,191,842,482
1,1,1672,23,1,0,250,179,1339,437
1,1,1672,24,4,5,251,187,737,396
1,1,1672,25,7,8,254,181,869,345
1,1,1672,26,1,0,254,184,634,523
1,1,1672,27,1,0,254,197,691,298
1,1,1672,28,1,0,255,170,1490,902
1,1,1672,29,7,10,257,195,1013,343
1,1,1672,30,1,0,256,177,636,435
1,1,1672,31,8,10,257,200,892,490
1,1,1672,32,1,0,257,173,585,455
1,1,1672,33,1,0,257,181,642,385
1,1,1672,34,1,0,258,188,627,190
1,1,1672,35,2,3,260,179,712,581
1,1,1672,36,15,18,262,182,975,577
1,1,1672,37,4,4,260,203,918,567
1,1,1672,38,1,0,259,228,583,426
1,1,1672,39,1,0,262,179,726,341
1,1,1672,40,8,10,263,194,827,473
1,1,1672,41,1,0,262,202,1036,326
1,1,1672,42,3,5,263,204,798,432
1,1,1672,43,1,0,265,177,672,420
1,1,1672,44,5,5,266,186,864,374
1,1,1672,45,1,0,266,201,631,418
1,1,1672,46,1,0,267,197,607,241
1,1,1672,47,2,2,268,211,778,616
1,1,1672,48,3,5,269,207,795,547
1,1,1672,49,2,2,269,199,694,399
1,1,1672,50,1,0,270,187,676,255
1,1,1672,51,2,2,270,222,953,229
1,1,1672,52,3,5,272,183,828,426
1,1,1672,53,2,2,271,206,698,359
1,1,1672,54,1,0,272,180,762,546
1,1,1672,55,1,0,272,226,818,437
1,1,1672,56,2,2,274,168,1227,512
1,1,1672,57,2,2,276,191,753,358
1,1,1672,58,4,5,279,192,816,552
1,1,1672,59,5,7,282,188,767,396
1,1,1672,60,2,2,283,181,904,652
1,1,1672,61,1,0,282,196,625,354
1,1,1672,62,2,2,285,183,592,332
1,1,1672,63,1,0,287,193,847,607
1,2,2344,1,3,5,228,305,1790,931
1,2,2344,2,2,2,229,308,1733,838
1,2,2344,3,2,3,230,293,1594,559
1,2,2344,4,2,2,231,313,1817,662
1,2,2344,5,1,0,231,277,1290,901
1,2,2344,6,1,0,231,307,1697,999
1,2,2344,7,1,0,232,291,1244,466
1,2,2344,8,2,2,233,304,1394,793
