Time Img,No. Cell,Threshold Cell,No. Lys.,Area Lys.,Perimeter Lys.,Centroid Lys. X,Centroid Lys. Y,mCherry_Mean.,Venus_Mean
1,1,2990,1,1,0,244,236,1216,159
1,1,2990,2,1,0,251,192,1044,457
1,1,2990,3,1,0,252,261,1473,411
1,1,2990,4,1,0,254,178,1143,684
1,1,2990,5,1,0,254,182,974,66
1,1,2990,6,1,0,254,247,1546,956
1,1,2990,7,1,0,257,200,1092,170
1,1,2990,8,1,0,258,249,997,382
1,1,2990,9,2,2,259,243,1126,160
1,1,2990,10,1,0,260,252,1180,363
1,1,2990,11,2,2,261,239,1453,184
1,1,2990,12,1,0,261,246,1171,793
1,1,2990,13,7,8,265,263,1476,561
1,1,2990,14,4,5,265,267,1143,762
1,1,2990,15,2,2,266,260,1028,535
1,1,2990,16,1,0,267,253,1166,328
1,1,2990,17,1,0,270,254,987,639
1,1,2990,18,1,0,270,261,1043,628
1,1,2990,19,1,0,272,237,1154,271
1,1,2990,20,12,15,273,249,1392,438
1,1,2990,21,1,0,273,260,1145,301
1,1,2990,22,1,0,273,262,1171,692
1,1,2990,23,1,0,274,235,979,514
1,1,2990,24,1,0,274,244,1368,279
1,1,2990,25,1,0,277,240,979,527
1,1,2990,26,1,0,277,242,1835,444
1,1,2990,27,1,0,283,235,1057,161
1,1,2990,28,3,3,285,220,1658,929
2,1,3060,1,1,0,245,244,1096,480
2,1,3060,2,1,0,246,248,1038,215
2,1,3060,3,1,0,250,244,1045,0
2,1,3060,4,1,0,251,225,1201,549
2,1,3060,5,2,3,252,251,1205,674
2,1,3060,6,1,0,254,246,1045,739
2,1,3060,7,1,0,260,240,1548,502
2,1,3060,8,1,0,261,238,1513,615
2,1,3060,9,2,2,262,247,1090,465
2,1,3060,10,6,7,265,263,1269,632
2,1,3060,11,4,5,265,266,1347,697
2,1,3060,12,1,0,265,241,1244,569
2,1,3060,13,2,2,267,245,1192,638
2,1,3060,14,1,0,267,252,1185,227
2,1,3060,15,1,0,267,260,1526,244
2,1,3060,16,2,2,271,249,1255,222
2,1,3060,17,1,0,270,255,1097,0
2,1,3060,18,1,0,270,262,1158,550
2,1,3060,19,2,2,272,253,1110,870
2,1,3060,20,10,12,273,248,1607,604
2,1,3060,21,1,0,274,244,1223,79
2,1,3060,22,1,0,276,248,1188,105
2,1,3060,23,1,0,276,256,1046,251
2,1,3060,24,1,0,277,242,1503,59
2,1,3060,25,1,0,283,229,1048,799
2,1,3060,26,2,2,283,236,1365,851
2,1,3060,27,4,4,286,220,1841,1434
3,1,2977,1,1,0,245,242,1046,1156
3,1,2977,2,2,3,247,245,1121,103
3,1,2977,3,1,0,247,249,1087,647
3,1,2977,4,1,0,249,235,987,21
3,1,2977,5,1,0,249,263,950,499
3,1,2977,6,1,0,250,254,1006,115
3,1,2977,7,1,0,251,251,1068,642
3,1,2977,8,1,0,255,193,950,126
3,1,2977,9,1,0,259,240,1079,462
3,1,2977,10,1,0,259,247,1001,552
3,1,2977,11,1,0,260,250,1003,364
3,1,2977,12,2,2,261,253,974,326
3,1,2977,13,1,0,261,233,1043,705
3,1,2977,14,1,0,261,238,1646,369
3,1,2977,15,1,0,262,241,1258,627
3,1,2977,16,1,0,262,265,1108,1002
3,1,2977,17,1,0,264,258,998,473
3,1,2977,18,4,5,265,263,1738,431
3,1,2977,19,2,2,265,267,1680,745
3,1,2977,20,2,3,268,187,1024,482
3,1,2977,21,1,0,267,244,1726,1067
3,1,2977,22,1,0,267,252,1262,59
3,1,2977,23,1,0,267,258,1165,500
3,1,2977,24,1,0,268,224,1047,427
3,1,2977,25,1,0,269,246,1001,532
3,1,2977,26,1,0,269,254,956,892
3,1,2977,27,1,0,269,262,1170,333
3,1,2977,28,1,0,271,238,1104,761
3,1,2977,29,8,9,272,249,1719,545
3,1,2977,30,4,5,274,245,1164,348
3,1,2977,31,1,0,273,253,1060,757
3,1,2977,32,1,0,276,246,1045,51
3,1,2977,33,2,2,284,236,1294,680
3,1,2977,34,3,3,286,220,1516,1565
4,1,2979,1,3,5,245,240,1198,464
4,1,2979,2,1,0,248,248,1054,777
4,1,2979,3,1,0,249,238,971,291
4,1,2979,4,1,0,251,192,1023,259
4,1,2979,5,1,0,251,248,1205,687
4,1,2979,6,1,0,252,184,966,961
4,1,2979,7,2,2,254,246,1063,412
4,1,2979,8,1,0,256,243,968,184
4,1,2979,9,1,0,257,239,1132,270
4,1,2979,10,1,0,260,246,1245,1072
4,1,2979,11,2,2,262,238,1198,542
4,1,2979,12,1,0,262,241,1148,706
4,1,2979,13,1,0,262,264,1019,804
4,1,2979,14,1,0,264,255,1103,624
4,1,2979,15,6,7,266,263,1530,389
4,1,2979,16,1,0,265,186,1047,713
4,1,2979,17,1,0,265,229,995,755
4,1,2979,18,1,0,265,267,1124,1155
4,1,2979,19,3,3,267,244,1135,825
4,1,2979,20,1,0,267,252,1223,45
4,1,2979,21,1,0,268,260,964,100
4,1,2979,22,1,0,270,262,1439,508
4,1,2979,23,6,8,273,248,1688,538
4,1,2979,24,2,2,274,244,1543,357
4,1,2979,25,1,0,273,252,1141,239
4,1,2979,26,1,0,273,261,1039,520
4,1,2979,27,1,0,276,214,1004,533
4,1,2979,28,2,2,276,244,1129,77
4,1,2979,29,1,0,278,240,959,738
4,1,2979,30,3,5,281,236,1094,455
4,1,2979,31,1,0,281,240,984,287
4,1,2979,32,2,2,286,220,1440,1417
5,1,2973,1,1,0,243,234,997,38
5,1,2973,2,1,0,244,240,1014,670
5,1,2973,3,1,0,244,246,958,281
5,1,2973,4,2,2,247,241,1293,1046
5,1,2973,5,1,0,247,250,1021,607
5,1,2973,6,1,0,250,183,1165,209
5,1,2973,7,1,0,252,191,1229,527
5,1,2973,8,1,0,253,245,1038,637
5,1,2973,9,4,7,257,240,1076,465
5,1,2973,10,1,0,258,237,1082,667
5,1,2973,11,1,0,260,248,958,698
5,1,2973,12,2,2,262,246,1290,710
5,1,2973,13,1,0,262,238,1036,427
5,1,2973,14,6,6,265,263,1565,522
5,1,2973,15,3,3,265,266,1280,1021
5,1,2973,16,2,2,266,246,972,719
5,1,2973,17,1,0,267,209,997,388
5,1,2973,18,1,0,267,248,1004,597
5,1,2973,19,1,0,268,220,1088,520
5,1,2973,20,1,0,268,258,1013,21
5,1,2973,21,5,6,269,261,1078,382
5,1,2973,22,5,5,272,248,1638,514
5,1,2973,23,1,0,274,244,2069,799
5,1,2973,24,2,2,274,262,979,498
5,1,2973,25,1,0,276,244,1328,143
5,1,2973,26,1,0,279,242,1254,99
5,1,2973,27,1,0,280,196,974,575
5,1,2973,28,4,4,286,220,1647,1292
6,1,3011,1,3,5,244,233,1171,651
6,1,3011,2,1,0,245,238,1199,421
6,1,3011,3,2,2,246,230,1072,415
6,1,3011,4,1,0,246,240,1002,485
6,1,3011,5,1,0,246,243,1077,646
6,1,3011,6,1,0,253,246,1126,199
6,1,3011,7,1,0,257,248,1069,797
6,1,3011,8,1,0,257,256,1042,472
6,1,3011,9,1,0,259,249,1355,535
6,1,3011,10,1,0,259,256,1132,293
6,1,3011,11,1,0,261,238,1458,292
6,1,3011,12,2,2,263,240,1035,365
6,1,3011,13,5,5,265,262,1578,607
6,1,3011,14,2,2,265,267,1500,888
6,1,3011,15,1,0,266,245,1070,802
6,1,3011,16,1,0,266,247,1158,998
6,1,3011,17,1,0,267,184,1051,699
6,1,3011,18,2,2,268,253,1215,0
6,1,3011,19,1,0,267,266,1111,697
6,1,3011,20,1,0,268,260,1108,170
6,1,3011,21,2,2,270,262,1251,49
6,1,3011,22,1,0,269,269,1221,0
6,1,3011,23,1,0,270,244,988,0
6,1,3011,24,1,0,271,238,1340,511
6,1,3011,25,7,7,272,248,1622,428
6,1,3011,26,1,0,273,224,1042,450
6,1,3011,27,5,7,275,244,1268,246
6,1,3011,28,1,0,276,256,1045,548
6,1,3011,29,1,0,283,238,1130,57
6,1,3011,30,3,3,286,219,1754,1024
7,1,2996,1,1,0,244,236,1062,305
7,1,2996,2,1,0,245,238,1021,802
7,1,2996,3,1,0,246,229,981,217
7,1,2996,4,1,0,248,251,981,349
7,1,2996,5,1,0,249,230,1108,580
7,1,2996,6,3,3,250,249,1132,610
7,1,2996,7,2,3,254,246,1127,450
7,1,2996,8,4,6,257,240,1236,435
7,1,2996,9,1,0,259,259,1026,375
7,1,2996,10,2,3,261,238,1041,430
7,1,2996,11,1,0,260,246,1119,598
7,1,2996,12,1,0,260,264,1089,277
7,1,2996,13,1,0,261,241,1266,944
7,1,2996,14,1,0,261,268,1013,412
7,1,2996,15,1,0,264,254,979,563
7,1,2996,16,1,0,265,186,980,217
7,1,2996,17,1,0,265,239,1113,497
7,1,2996,18,2,2,265,245,1321,573
7,1,2996,19,1,0,265,249,1228,496
7,1,2996,20,1,0,265,259,1010,584
