Time Img,No. Cell,Threshold Cell,No. Lys.,Area Lys.,Perimeter Lys.,Centroid Lys. X,Centroid Lys. Y,mCherry_Mean.,Venus_Mean
1,1,2521,1,1,0,148,121,839,55
1,1,2521,2,1,0,151,129,724,242
1,1,2521,3,1,0,153,126,726,542
1,1,2521,4,1,0,155,131,786,481
1,1,2521,5,1,0,160,137,888,456
1,1,2521,6,1,0,164,129,787,409
1,1,2521,7,1,0,167,114,724,261
1,1,2521,8,9,9,171,128,1997,89
1,1,2521,9,1,0,171,132,759,0
1,1,2521,10,1,0,172,149,1008,139
1,1,2521,11,1,0,173,147,804,426
1,1,2521,12,1,0,175,145,792,197
1,1,2521,13,1,0,176,117,842,261
1,1,2521,14,1,0,176,149,931,605
1,1,2521,15,4,7,180,151,853,483
1,1,2521,16,1,0,180,119,826,0
1,1,2521,17,1,0,181,106,819,0
1,1,2521,18,1,0,183,122,767,71
1,1,2521,19,1,0,183,153,833,372
1,1,2521,20,3,6,185,111,801,156
1,1,2521,21,1,0,185,144,982,0
1,1,2521,22,1,0,186,152,837,592
1,1,2521,23,1,0,187,125,737,0
1,1,2521,24,1,0,187,135,828,0
1,1,2521,25,1,0,187,154,932,655
1,1,2521,26,1,0,188,159,740,450
1,1,2521,27,7,7,190,117,1249,53
1,1,2521,28,2,2,190,127,860,0
1,1,2521,29,2,2,189,154,790,503
1,1,2521,30,1,0,190,129,887,0
1,1,2521,31,1,0,191,140,744,246
1,1,2521,32,2,2,192,123,902,62
1,1,2521,33,1,0,192,142,753,207
1,1,2521,34,1,0,192,161,798,499
1,1,2521,35,1,0,193,113,871,181
1,1,2521,36,1,0,193,144,822,536
1,1,2521,37,1,0,193,163,726,425
1,1,2521,38,2,2,195,121,931,320
1,1,2521,39,1,0,194,160,777,912
1,1,2521,40,1,0,195,136,750,0
1,1,2521,41,1,0,195,165,841,486
1,1,2521,42,1,0,196,159,772,511
1,1,2521,43,1,0,197,138,942,29
1,1,2521,44,1,0,197,144,867,389
1,1,2521,45,2,3,198,162,891,606
1,1,2521,46,3,5,198,165,790,792
1,1,2521,47,3,5,199,140,782,117
1,1,2521,48,1,0,199,146,917,720
1,1,2521,49,1,0,199,163,730,734
1,1,2521,50,1,0,200,161,974,494
1,1,2521,51,1,0,201,115,813,343
1,1,2521,52,1,0,201,166,945,832
1,1,2521,53,1,0,202,143,732,256
1,1,2521,54,1,0,203,161,842,756
1,1,2521,55,1,0,204,107,776,399
1,1,2521,56,1,0,204,167,889,572
1,1,2521,57,2,2,205,162,757,544
1,1,2521,58,2,3,208,166,802,846
1,1,2521,59,1,0,212,166,949,482
1,1,2521,60,1,0,218,114,735,409
1,1,2521,61,1,0,219,170,769,736
1,1,2521,62,1,0,224,164,895,954
1,1,2521,63,1,0,225,158,771,0
1,1,2521,64,1,0,225,174,740,766
1,1,2521,65,1,0,229,164,877,1011
1,1,2521,66,1,0,229,166,834,797
1,1,2521,67,1,0,232,166,769,541
1,1,2521,68,1,0,233,162,824,279
1,1,2521,69,4,8,237,162,886,756
1,1,2521,70,1,0,235,165,815,824
1,1,2521,71,1,0,236,123,737,210
1,1,2521,72,1,0,236,167,981,581
1,1,2521,73,1,0,237,169,754,571
1,1,2521,74,1,0,237,171,854,603
1,1,2521,75,5,5,239,159,952,836
1,1,2521,76,1,0,239,171,862,851
1,1,2521,77,1,0,240,162,958,690
1,1,2521,78,1,0,240,165,739,996
1,1,2521,79,2,2,243,164,772,674
1,1,2521,80,1,0,244,135,981,1141
1,1,2521,81,2,2,244,142,951,746
1,1,2521,82,1,0,244,158,1045,719
1,1,2521,83,1,0,244,161,781,637
1,1,2521,84,1,0,245,145,880,718
1,1,2521,85,1,0,246,140,736,446
1,1,2521,86,1,0,248,139,829,803
1,1,2521,87,1,0,249,141,804,774
1,2,2111,1,1,0,234,466,696,397
1,2,2111,2,1,0,236,465,666,120
1,2,2111,3,1,0,236,473,719,284
1,2,2111,4,2,2,238,469,769,401
1,2,2111,5,1,0,239,474,785,663
1,2,2111,6,4,6,240,476,786,548
1,2,2111,7,1,0,243,439,916,364
1,2,2111,8,1,0,244,437,1186,0
1,2,2111,9,1,0,246,441,658,261
1,2,2111,10,2,2,248,439,1088,0
1,2,2111,11,2,3,252,446,681,201
1,2,2111,12,1,0,251,459,741,271
1,2,2111,13,1,0,252,457,754,341
1,2,2111,14,1,0,260,492,975,75
1,2,2111,15,7,13,265,450,1061,0
1,2,2111,16,1,0,264,435,704,141
1,2,2111,17,1,0,264,444,1081,0
1,2,2111,18,9,11,266,446,1141,78
1,2,2111,19,1,0,265,439,798,134
1,2,2111,20,2,2,267,441,785,362
1,2,2111,21,1,0,267,438,666,0
1,2,2111,22,2,3,271,450,828,0
1,2,2111,23,11,15,273,440,1083,106
1,2,2111,24,1,0,271,489,653,387
1,2,2111,25,3,3,280,448,746,626
1,2,2111,26,1,0,281,485,711,456
1,2,2111,27,1,0,285,482,656,827
1,2,2111,28,1,0,288,430,674,226
1,2,2111,29,1,0,288,453,687,510
1,2,2111,30,1,0,290,432,689,0
1,2,2111,31,1,0,290,441,672,102
1,2,2111,32,1,0,290,448,707,688
1,2,2111,33,1,0,290,471,681,733
1,2,2111,34,2,2,294,456,700,484
1,2,2111,35,1,0,294,438,810,507
1,2,2111,36,1,0,296,443,951,357
1,2,2111,37,2,2,296,449,704,395
1,2,2111,38,1,0,297,453,775,569
1,2,2111,39,2,3,298,456,863,650
1,2,2111,40,1,0,299,476,807,209
1,2,2111,41,2,3,301,468,796,454
1,2,2111,42,1,0,302,470,709,241
1,2,2111,43,1,0,303,443,796,400
1,3,2260,1,1,0,234,399,732,503
1,3,2260,2,1,0,234,407,682,585
1,3,2260,3,1,0,239,398,886,482
